iter	MultiClass
0	1.912382479
1	1.880190354
2	1.850934938
3	1.821778675
4	1.794507718
5	1.767036476
6	1.741499235
7	1.717664185
8	1.694521067
9	1.673052366
10	1.650534393
11	1.628649646
12	1.60846387
13	1.588855065
14	1.569006347
15	1.550485411
16	1.531809596
17	1.514573722
18	1.497529382
19	1.480851544
20	1.464827513
21	1.449000269
22	1.433309044
23	1.418282266
24	1.403507879
25	1.38990102
26	1.375856827
27	1.361830936
28	1.349644392
29	1.336663249
30	1.323749899
31	1.311171805
32	1.298764498
33	1.286848762
34	1.275629142
35	1.263375053
36	1.251527836
37	1.240035136
38	1.229195479
39	1.219972505
40	1.209384366
41	1.199482002
42	1.189264561
43	1.179620019
44	1.169990024
45	1.161037339
46	1.151225031
47	1.142404598
48	1.133311248
49	1.124043514
50	1.115715137
51	1.10711667
52	1.098561782
53	1.090433483
54	1.082308863
55	1.07427548
56	1.066805592
57	1.058975249
58	1.051996939
59	1.044664861
60	1.037428321
61	1.029907749
62	1.022915036
63	1.016088611
64	1.00922169
65	1.003097469
66	0.9959021474
67	0.9893186583
68	0.9829106774
69	0.9762243619
70	0.9700950027
71	0.9644630455
72	0.9585442095
73	0.9524119807
74	0.9465608935
75	0.9402984275
76	0.9352730374
77	0.929035797
78	0.923537522
79	0.9182089898
80	0.9125378986
81	0.9072170178
82	0.9018111703
83	0.8964199017
84	0.8910865545
85	0.8863785175
86	0.8814775616
87	0.8765356654
88	0.8715466867
89	0.8669127962
90	0.8622817292
91	0.8577534984
92	0.8528538647
93	0.8484998256
94	0.8439903863
95	0.839405326
96	0.8348387574
97	0.8307003753
98	0.8262700034
99	0.8222047946
100	0.8180445752
101	0.814219389
102	0.809988245
103	0.8056635306
104	0.8014723089
105	0.7977410982
106	0.7937874754
107	0.7900577844
108	0.7861906368
109	0.7820746209
110	0.7780674328
111	0.7741380864
112	0.7704475768
113	0.7669882738
114	0.7634381713
115	0.7597727488
116	0.756354919
117	0.7530324076
118	0.7496922702
119	0.7459462839
120	0.7428069523
121	0.7396905832
122	0.7362862595
123	0.7331034636
124	0.7296411492
125	0.7261283326
126	0.7231496883
127	0.7198989911
128	0.7165557811
129	0.713336016
130	0.7100705902
