iter	Passed	Remaining
0	23	23017
1	39	19788
2	56	18739
3	77	19371
4	97	19494
5	115	19205
6	133	18890
7	152	18894
8	170	18746
9	190	18868
10	208	18717
11	225	18603
12	248	18878
13	271	19144
14	291	19128
15	309	19024
16	327	18933
17	345	18842
18	364	18802
19	382	18765
20	402	18764
21	428	19044
22	451	19194
23	477	19411
24	508	19837
25	532	19965
26	552	19924
27	580	20145
28	605	20289
29	625	20232
30	649	20286
31	670	20292
32	707	20720
33	734	20860
34	753	20773
35	773	20712
36	793	20662
37	817	20703
38	844	20819
39	865	20771
40	885	20718
41	916	20895
42	946	21066
43	973	21162
44	991	21049
45	1011	20986
46	1030	20899
47	1051	20853
48	1075	20871
49	1094	20802
50	1120	20844
51	1146	20896
52	1165	20817
53	1186	20783
54	1205	20718
55	1231	20752
56	1250	20689
57	1271	20644
58	1289	20564
59	1309	20517
60	1329	20473
61	1355	20506
62	1376	20466
63	1395	20404
64	1414	20346
65	1439	20377
66	1458	20307
67	1477	20245
68	1495	20182
69	1515	20138
70	1537	20113
71	1561	20128
72	1584	20121
73	1605	20085
74	1624	20033
75	1657	20153
76	1679	20131
77	1698	20079
78	1718	20029
79	1743	20054
80	1772	20113
81	1799	20148
82	1818	20096
83	1838	20043
84	1859	20020
85	1878	19963
86	1896	19904
87	1915	19856
88	1934	19802
89	1957	19790
90	1982	19798
91	2005	19788
92	2027	19770
93	2054	19799
94	2080	19820
95	2100	19776
96	2120	19735
97	2138	19681
98	2161	19667
99	2184	19664
100	2223	19792
101	2244	19762
102	2267	19743
103	2289	19727
104	2311	19699
105	2332	19669
106	2360	19703
107	2390	19739
108	2414	19739
109	2433	19687
110	2458	19693
111	2480	19670
112	2499	19620
113	2518	19575
114	2537	19530
115	2561	19523
116	2592	19565
117	2622	19605
118	2653	19644
119	2682	19670
120	2704	19647
121	2727	19625
122	2753	19629
123	2780	19643
124	2802	19616
125	2824	19589
126	2850	19592
127	2886	19661
128	2910	19649
129	2936	19648
130	2977	19748
131	3018	19846
132	3052	19901
133	3096	20014
134	3129	20050
135	3161	20083
136	3189	20091
137	3213	20075
138	3235	20039
139	3263	20047
140	3292	20060
141	3314	20025
142	3344	20042
143	3369	20028
144	3396	20030
145	3426	20042
146	3449	20014
147	3474	20002
148	3495	19966
149	3524	19971
150	3549	19958
151	3583	19991
152	3608	19976
153	3628	19935
154	3647	19886
155	3681	19920
156	3706	19903
157	3727	19866
158	3751	19843
159	3776	19825
160	3801	19808
161	3825	19789
162	3846	19753
163	3867	19713
164	3887	19673
165	3906	19627
166	3927	19588
167	3949	19558
168	3969	19520
169	4008	19570
170	4027	19523
171	4050	19497
172	4072	19465
173	4098	19457
174	4117	19412
175	4137	19372
176	4155	19323
177	4178	19294
178	4198	19256
179	4221	19231
180	4239	19184
181	4260	19149
182	4280	19111
183	4300	19072
184	4321	19039
185	4342	19005
186	4362	18966
187	4381	18923
188	4402	18892
189	4427	18875
190	4449	18845
191	4467	18802
192	4486	18760
193	4509	18737
194	4530	18702
195	4550	18665
196	4573	18641
197	4591	18599
198	4609	18555
199	4631	18524
200	4656	18508
201	4679	18484
202	4696	18438
203	4714	18394
204	4731	18349
205	4747	18299
206	4768	18269
207	4789	18236
208	4805	18186
209	4824	18148
210	4846	18121
211	4865	18085
212	4880	18032
213	4895	17980
214	4918	17959
215	4933	17907
216	4950	17861
217	4965	17813
218	4982	17769
219	5003	17740
220	5022	17705
221	5040	17665
222	5061	17636
223	5085	17617
224	5109	17598
225	5125	17554
226	5150	17538
227	5172	17513
228	5189	17470
229	5206	17429
230	5222	17386
231	5239	17343
232	5263	17325
233	5337	17473
234	5355	17433
235	5378	17411
236	5396	17374
237	5414	17336
238	5431	17294
239	5448	17254
240	5466	17215
241	5486	17183
242	5510	17167
243	5529	17132
244	5547	17095
245	5566	17061
246	5587	17032
247	5604	16994
248	5622	16956
249	5639	16917
250	5656	16879
251	5674	16842
252	5691	16805
253	5720	16802
254	5754	16811
255	5771	16773
256	5791	16742
257	5808	16706
258	5826	16670
259	5845	16636
260	5863	16600
261	5880	16564
262	5898	16528
263	5919	16501
264	5937	16468
265	5955	16432
266	5977	16410
267	5994	16373
268	6014	16343
269	6030	16304
270	6047	16266
271	6065	16233
272	6081	16194
273	6099	16162
274	6125	16149
275	6146	16122
276	6176	16120
277	6197	16095
278	6218	16069
279	6241	16048
280	6265	16032
281	6288	16011
282	6318	16007
283	6342	15990
284	6371	15985
285	6395	15967
286	6419	15948
287	6442	15927
288	6459	15891
289	6477	15859
290	6495	15826
291	6514	15794
292	6543	15790
293	6561	15755
294	6578	15721
295	6596	15688
296	6614	15656
297	6637	15636
298	6665	15626
299	6690	15611
300	6710	15583
301	6731	15557
302	6752	15533
303	6772	15505
304	6799	15492
305	6820	15467
306	6840	15440
307	6863	15419
308	6880	15387
309	6902	15363
310	6918	15327
311	6937	15298
312	6963	15284
313	6987	15266
314	7012	15249
315	7040	15240
316	7080	15255
317	7114	15258
318	7142	15247
319	7168	15233
320	7189	15207
321	7207	15176
322	7227	15147
323	7250	15126
324	7270	15099
325	7294	15081
326	7316	15058
327	7336	15029
328	7362	15015
329	7382	14988
330	7403	14963
331	7422	14934
332	7442	14907
333	7466	14888
334	7495	14879
335	7520	14862
336	7549	14851
337	7572	14831
338	7601	14820
339	7626	14805
340	7651	14786
341	7675	14766
342	7699	14748
343	7730	14741
344	7756	14726
345	7782	14710
346	7803	14685
347	7822	14656
348	7843	14631
349	7863	14604
350	7889	14588
351	7914	14570
352	7939	14552
353	7958	14523
354	7977	14494
355	8003	14477
356	8022	14449
357	8040	14419
358	8058	14388
359	8076	14358
360	8096	14331
361	8117	14307
362	8142	14288
363	8161	14259
364	8188	14246
365	8207	14216
366	8224	14185
367	8242	14156
368	8265	14133
369	8283	14105
370	8304	14080
371	8331	14065
372	8370	14070
373	8388	14040
374	8415	14026
375	8437	14002
376	8456	13975
377	8478	13951
378	8497	13923
379	8519	13900
380	8541	13877
381	8561	13850
382	8581	13824
383	8606	13805
384	8632	13788
385	8652	13762
386	8671	13735
387	8690	13707
388	8707	13677
389	8725	13647
390	8748	13626
391	8769	13601
392	8790	13577
393	8811	13552
394	8831	13526
395	8849	13496
396	8865	13466
397	8882	13435
398	8900	13405
399	8917	13375
400	8936	13349
401	8957	13324
402	8976	13297
403	8999	13276
404	9034	13272
405	9059	13254
406	9080	13229
407	9104	13210
408	9124	13184
409	9153	13172
410	9179	13155
411	9207	13140
412	9227	13114
413	9246	13087
414	9266	13063
415	9286	13037
416	9307	13012
417	9327	12986
418	9355	12972
419	9376	12947
420	9406	12937
421	9443	12933
422	9475	12925
423	9514	12925
424	9540	12907
425	9567	12891
426	9592	12872
427	9623	12861
428	9651	12846
429	9692	12848
430	9722	12834
431	9754	12825
432	9779	12805
433	9803	12785
434	9822	12758
435	9842	12731
436	9866	12710
437	9884	12683
438	9902	12654
439	9920	12625
440	9935	12594
441	9952	12565
442	9973	12539
443	9999	12522
444	10030	12510
445	10051	12485
446	10081	12471
447	10103	12448
448	10127	12427
449	10150	12406
450	10175	12386
451	10194	12359
452	10219	12339
453	10244	12320
454	10265	12296
455	10290	12276
456	10315	12257
457	10338	12235
458	10355	12205
459	10372	12176
460	10390	12148
461	10407	12119
462	10429	12096
463	10446	12067
464	10466	12041
465	10490	12021
466	10518	12004
467	10542	11984
468	10563	11959
469	10583	11934
470	10618	11926
471	10642	11904
472	10667	11885
473	10691	11864
474	10712	11840
475	10733	11815
476	10755	11792
477	10773	11765
478	10791	11737
479	10826	11728
480	10872	11731
481	10921	11737
482	10947	11718
483	11004	11732
484	11031	11714
485	11065	11702
486	11098	11691
487	11122	11669
488	11150	11651
489	11179	11636
490	11203	11614
491	11234	11599
492	11262	11582
493	11285	11559
494	11311	11540
495	11335	11518
496	11358	11495
497	11384	11475
498	11409	11454
499	11428	11428
500	11446	11401
501	11468	11377
502	11489	11352
503	11513	11330
504	11538	11310
505	11558	11284
506	11580	11260
507	11605	11239
508	11623	11212
509	11641	11184
510	11659	11157
511	11678	11130
512	11701	11108
513	11717	11079
514	11734	11050
515	11751	11022
516	11768	10994
517	11790	10971
518	11812	10947
519	11832	10921
520	11849	10893
521	11865	10865
522	11883	10837
523	11904	10813
524	11923	10788
525	11939	10759
526	11956	10731
527	11974	10704
528	11999	10683
529	12019	10658
530	12036	10631
531	12054	10604
532	12070	10576
533	12088	10548
534	12109	10524
535	12130	10500
536	12147	10473
537	12163	10445
538	12182	10419
539	12202	10394
540	12236	10381
541	12264	10364
542	12290	10343
543	12316	10324
544	12342	10303
545	12364	10281
546	12392	10263
547	12454	10272
548	12503	10271
549	12564	10279
550	12608	10274
551	12646	10263
552	12696	10263
553	12739	10255
554	12777	10244
555	12818	10236
556	12855	10224
557	12892	10211
558	12926	10197
559	12968	10189
560	13006	10177
561	13039	10162
562	13076	10149
563	13120	10143
564	13159	10131
565	13190	10114
566	13217	10093
567	13247	10075
568	13283	10061
569	13320	10048
570	13360	10037
571	13397	10024
572	13433	10010
573	13468	9995
574	13495	9974
575	13521	9953
576	13549	9932
577	13571	9908
578	13606	9893
579	13633	9872
580	13662	9852
581	13689	9832
