iter	Passed	Remaining
0	19	19311
1	36	18097
2	54	17971
3	74	18513
4	99	19795
5	125	20718
6	148	21040
7	166	20596
8	187	20694
9	207	20522
10	225	20297
11	243	20049
12	261	19850
13	279	19672
14	302	19832
15	324	19963
16	385	22319
17	425	23225
18	447	23105
19	464	22780
20	483	22524
21	502	22345
22	522	22213
23	544	22158
24	562	21950
25	583	21862
26	600	21650
27	622	21624
28	641	21468
29	659	21312
30	676	21159
31	695	21027
32	713	20920
33	732	20822
34	756	20865
35	774	20747
36	798	20786
37	818	20717
38	846	20863
39	864	20748
40	882	20646
41	906	20675
42	923	20555
43	942	20482
44	959	20372
45	991	20572
46	1011	20500
47	1028	20397
48	1045	20288
49	1062	20180
50	1077	20051
51	1096	19983
52	1112	19875
53	1128	19762
54	1145	19680
55	1164	19626
56	1181	19547
57	1201	19511
58	1219	19451
59	1240	19440
60	1256	19349
61	1273	19267
62	1290	19200
63	1308	19138
64	1324	19056
65	1340	18972
66	1357	18896
67	1375	18856
68	1395	18825
69	1417	18827
70	1434	18766
71	1452	18714
72	1473	18710
73	1490	18651
74	1512	18657
75	1538	18703
76	1562	18730
77	1591	18807
78	1618	18865
79	1653	19014
80	1676	19021
81	1699	19030
82	1724	19051
83	1745	19029
84	1770	19063
85	1795	19079
86	1819	19094
87	1847	19147
88	1867	19114
89	1887	19080
90	1905	19029
91	1925	19008
92	1944	18962
93	1962	18910
94	1979	18861
95	1999	18828
96	2021	18820
97	2049	18863
98	2069	18834
99	2087	18791
100	2105	18740
101	2126	18719
102	2155	18771
103	2190	18873
104	2219	18914
105	2251	18991
106	2294	19150
107	2312	19102
108	2332	19062
109	2350	19014
110	2370	18986
111	2388	18938
112	2406	18887
113	2425	18851
114	2454	18890
115	2475	18863
116	2495	18835
117	2519	18831
118	2536	18782
119	2554	18735
120	2575	18708
121	2595	18676
122	2616	18657
123	2641	18659
124	2662	18634
125	2683	18612
126	2702	18578
127	2721	18542
128	2739	18499
129	2759	18468
130	2787	18493
131	2808	18469
132	2829	18442
133	2858	18473
134	2884	18483
135	2904	18454
136	2929	18453
137	2952	18440
138	2974	18424
139	2999	18427
140	3022	18414
141	3050	18432
142	3079	18454
143	3099	18425
144	3117	18384
145	3135	18340
146	3153	18300
147	3172	18262
148	3191	18228
149	3210	18195
150	3229	18160
151	3254	18155
152	3292	18226
153	3312	18199
154	3331	18159
155	3349	18121
156	3367	18081
157	3384	18038
158	3403	18004
159	3424	17980
160	3443	17946
161	3468	17940
162	3487	17909
163	3509	17887
164	3531	17870
165	3552	17849
166	3573	17827
167	3591	17786
168	3609	17747
169	3630	17726
170	3655	17724
171	3675	17696
172	3694	17661
173	3712	17623
174	3737	17620
175	3759	17602
176	3777	17563
177	3796	17533
178	3818	17512
179	3841	17500
180	3876	17539
181	3901	17537
182	3925	17523
183	3950	17520
184	3975	17514
185	4009	17545
186	4037	17552
187	4070	17581
188	4099	17590
189	4119	17561
190	4144	17552
191	4163	17522
192	4191	17524
193	4214	17511
194	4238	17498
195	4262	17483
196	4300	17529
197	4324	17518
198	4347	17497
199	4365	17460
200	4384	17429
201	4404	17398
202	4424	17372
203	4441	17331
204	4461	17302
205	4485	17289
206	4511	17284
207	4532	17259
208	4555	17240
209	4576	17214
210	4593	17176
211	4611	17140
212	4630	17107
213	4648	17072
214	4667	17042
215	4687	17012
216	4716	17018
217	4736	16989
218	4753	16953
219	4772	16919
220	4790	16884
221	4810	16859
222	4829	16826
223	4847	16791
224	4864	16754
225	4882	16723
226	4900	16689
227	4928	16687
228	4946	16654
229	4962	16614
230	4980	16579
231	4999	16548
232	5016	16512
233	5033	16476
234	5049	16438
235	5069	16412
236	5085	16373
237	5106	16348
238	5123	16314
239	5152	16314
240	5172	16290
