iter	MultiClass
0	1.912959385
1	1.881788454
2	1.852197195
3	1.824013145
4	1.796822713
5	1.770564763
6	1.745160478
7	1.719842574
8	1.696641055
9	1.675029002
10	1.652150816
11	1.630140814
12	1.609554562
13	1.589265526
14	1.569394787
15	1.550879896
16	1.532535129
17	1.514989205
18	1.496421102
19	1.47962657
20	1.463371966
21	1.447044389
22	1.431285235
23	1.416529439
24	1.40159965
25	1.387639096
26	1.373610023
27	1.360718834
28	1.34734126
29	1.33405432
30	1.320948092
31	1.308045844
32	1.295271273
33	1.283148863
34	1.272465685
35	1.260372367
36	1.24853478
37	1.237676196
38	1.226730791
39	1.216064921
40	1.205709771
41	1.195854762
42	1.185717215
43	1.175959634
44	1.166410286
45	1.157109095
46	1.148000314
47	1.139212929
48	1.129993509
49	1.120891745
50	1.112573307
51	1.104160122
52	1.095954777
53	1.087595313
54	1.079767416
55	1.071911579
56	1.06468577
57	1.056901218
58	1.050053457
59	1.042397823
60	1.035294723
61	1.027855441
62	1.020790256
63	1.013776432
64	1.006765821
65	1.000734864
66	0.9941722415
67	0.9872404229
68	0.9803677559
69	0.974318034
70	0.9678032068
71	0.9618853188
72	0.9560015262
73	0.9500450416
74	0.9442091598
75	0.9377579224
76	0.9319780209
77	0.9260187521
78	0.9205163803
79	0.9151611371
80	0.9097362598
81	0.9042633099
82	0.8989229069
83	0.8935596429
84	0.8883337994
85	0.8834038572
86	0.8784763417
87	0.8735804169
88	0.8686779166
89	0.8639532368
90	0.8594338202
91	0.8551838566
92	0.8502544991
93	0.8458086618
94	0.8412780126
95	0.8367915777
96	0.8324235349
97	0.8282097523
98	0.8239258253
99	0.8196812082
100	0.8154182724
101	0.8112083663
102	0.8068454606
103	0.8029943827
104	0.7988636947
105	0.7949046132
106	0.7909259305
107	0.7870548852
108	0.7830484296
109	0.7789458202
110	0.7750372829
111	0.7713810623
112	0.767846196
113	0.7642714559
114	0.7607193012
115	0.7571809397
116	0.7537064453
117	0.7505630711
118	0.746865497
119	0.7431144016
120	0.7400702725
121	0.7366486337
122	0.7338721052
123	0.7306478836
124	0.7270966332
125	0.7238513759
126	0.720818516
127	0.7176634215
128	0.7142976668
129	0.7113106075
130	0.7083648249
131	0.7052526585
132	0.7025954067
133	0.699930914
134	0.6969892113
135	0.6944341202
136	0.6915376546
137	0.6887467745
138	0.6861415889
139	0.6833892466
140	0.6805269719
141	0.6781202821
142	0.6755012232
143	0.6729955891
144	0.6701049948
145	0.6671177751
146	0.6649740945
147	0.6623608043
148	0.6597128236
149	0.6573341496
150	0.6550233398
151	0.6527008203
152	0.6504005783
153	0.6480596634
154	0.6458090917
155	0.6432846137
156	0.6410318573
157	0.6388921463
158	0.6367352951
159	0.6342985803
160	0.6321584766
161	0.6299632777
162	0.6278355794
163	0.6256662933
164	0.6235653071
165	0.6216154225
166	0.6194883629
167	0.6170885028
168	0.6153407849
169	0.6134323132
170	0.6113640208
171	0.6094040149
172	0.6073494457
173	0.605492577
174	0.6035118003
175	0.601532863
176	0.5994243923
177	0.5973906959
178	0.5955177633
179	0.5938205543
180	0.5918918347
181	0.5900876197
182	0.5883430228
183	0.5865743871
184	0.5847869256
185	0.5828784289
186	0.581002637
187	0.5794029587
188	0.5778577767
189	0.5761725684
190	0.5746379201
191	0.5728551461
192	0.571221138
193	0.5697028334
194	0.568224095
195	0.5665180862
196	0.5646508056
197	0.5632695419
198	0.5619607654
199	0.5604059197
200	0.5585838445
201	0.5571375134
202	0.5554291764
203	0.5539818895
204	0.5524636972
205	0.5509356108
206	0.5494036034
207	0.5480063994
208	0.5465715106
209	0.5450419169
210	0.5435778198
211	0.5421294255
212	0.5405999548
213	0.5394496361
214	0.5382567546
215	0.5369615875
216	0.5356255157
217	0.5343392825
218	0.532994203
219	0.5320850879
220	0.5306450513
221	0.5295670809
222	0.5284471266
223	0.5271017522
224	0.5260342921
225	0.524600916
226	0.5233233839
227	0.5221618606
228	0.5211895331
229	0.5200005195
230	0.5188154105
231	0.5177665388
232	0.5165296415
233	0.5152257876
234	0.5142289162
235	0.5130355202
236	0.5120681413
237	0.5111776411
238	0.5102282919
239	0.5091056581
240	0.5082269916
241	0.5071643643
242	0.5060148291
243	0.5048841978
244	0.5036834074
245	0.5027341984
246	0.5016904071
247	0.5006367646
248	0.4997742778
249	0.4985570564
250	0.4974179166
251	0.49649842
252	0.4956980243
253	0.4947848134
254	0.4937872806
255	0.4926197189
256	0.4916791654
257	0.4906158128
258	0.4898280547
259	0.4886540951
260	0.487841787
261	0.487032496
262	0.4861890246
263	0.4851469079
264	0.4843067248
265	0.4833114183
266	0.482425549
267	0.4814373039
268	0.4806001539
269	0.4795511339
270	0.4787810727
271	0.4779484019
272	0.477315938
273	0.4763722777
274	0.475505893
275	0.4747806388
276	0.4739104351
277	0.473161215
278	0.4722377469
279	0.4715237148
280	0.4706692118
281	0.4697840549
282	0.4692028242
283	0.4684501101
284	0.4675987809
285	0.4669348982
286	0.4660778901
287	0.4653772108
288	0.464745321
289	0.4639705242
290	0.4631847155
291	0.4624957572
292	0.4617063512
293	0.4610240369
294	0.4601494068
295	0.4593226701
296	0.458645224
297	0.4578988846
298	0.4571473322
299	0.4563887961
300	0.4557740835
301	0.4551457916
302	0.4546415608
303	0.4539905751
304	0.4533488694
