iter	MultiClass
0	1.912879154
1	1.880926362
2	1.85196705
3	1.824522147
4	1.796847307
5	1.76938367
6	1.744533882
7	1.719291098
8	1.694733609
9	1.673647292
10	1.650838553
11	1.629441513
12	1.609508562
13	1.589323119
14	1.569643086
15	1.551413513
16	1.533576456
17	1.516542562
18	1.499495143
19	1.482736505
20	1.466665996
21	1.450897088
22	1.435185036
23	1.420230401
24	1.405533107
25	1.390983988
26	1.376975543
27	1.364475012
28	1.351272203
29	1.338543228
30	1.325531785
31	1.313541245
32	1.301060262
33	1.288956229
34	1.277053488
35	1.26565409
36	1.253755984
37	1.242322882
38	1.231724483
39	1.221985182
40	1.211622638
41	1.201463255
42	1.191500374
43	1.182082417
44	1.172425695
45	1.163243601
46	1.154039177
47	1.145131347
48	1.136439455
49	1.127550571
50	1.119228376
51	1.110758836
52	1.102284248
53	1.094204052
54	1.086029631
55	1.07797635
56	1.070583882
57	1.062760656
58	1.055727558
59	1.048323306
60	1.041543115
61	1.03397105
62	1.026981991
63	1.020646058
64	1.013729897
65	1.007714045
66	1.001092667
67	0.9946477592
68	0.9881757336
69	0.9816169306
70	0.9751065638
71	0.9691452763
72	0.9630402582
73	0.9570842468
74	0.9504660154
75	0.9442025404
76	0.9384391747
77	0.9325414961
78	0.9270050758
79	0.921542941
80	0.9162156115
81	0.9107458033
82	0.9054695648
83	0.8998195262
84	0.8944895872
85	0.8897578462
86	0.8847044556
87	0.8796542668
88	0.874612969
89	0.8699536631
90	0.8655220152
91	0.8609805477
92	0.8558903021
93	0.8514437673
94	0.8468148105
95	0.8423491761
96	0.8380086078
97	0.8332488986
98	0.8287655668
99	0.8245829866
100	0.8207343826
101	0.8164808516
102	0.8120017722
103	0.8080754351
104	0.8038659464
105	0.7999826062
106	0.7958632763
107	0.792041412
108	0.7880992459
109	0.7838478836
110	0.7800258413
111	0.7763200543
112	0.7725950557
113	0.769047684
114	0.7654807292
115	0.7617465677
116	0.7583228232
117	0.7548836321
118	0.751314664
119	0.7479128469
120	0.7445535324
121	0.7414577853
122	0.7387147141
123	0.7353824609
124	0.7317615542
125	0.7282974105
126	0.7251293017
127	0.7222426939
128	0.7193040043
129	0.7163770657
130	0.7134418447
131	0.7105018866
132	0.7077040797
133	0.7046617416
134	0.7017401604
135	0.6991943415
136	0.6964611349
137	0.6935052428
138	0.6908992391
139	0.6881544557
140	0.6850784048
141	0.6825242331
142	0.6800095877
143	0.6776509188
144	0.6750821677
145	0.6722774922
146	0.6697769542
147	0.6672257491
148	0.664659714
149	0.6624561205
150	0.6596118211
151	0.6570450808
152	0.6546034738
153	0.6522370757
154	0.6500721622
155	0.6479846882
156	0.6458008294
157	0.6434211873
158	0.6411316413
159	0.6386602249
160	0.6364992882
161	0.6340534112
162	0.631821665
163	0.6293462574
164	0.6270570272
165	0.6249684757
166	0.6229949485
167	0.6207422793
168	0.6185773074
169	0.6165209793
170	0.6144706885
171	0.6124956567
172	0.6102293946
173	0.6080857721
174	0.606087929
175	0.6042256221
176	0.602282677
177	0.6003987794
178	0.5984998166
179	0.5964550049
180	0.594442131
181	0.5925233159
182	0.5906639775
183	0.5889499683
184	0.5871355037
185	0.5852796388
186	0.5834487482
187	0.5815646035
188	0.5798204691
189	0.5779685034
190	0.5764317473
191	0.5748294913
192	0.5731225567
193	0.571394625
194	0.5699658225
195	0.5686660048
196	0.5668991499
197	0.5655163291
198	0.5641522576
199	0.5624093355
200	0.5608944797
201	0.5594020877
202	0.5581293732
203	0.5565803648
204	0.5550266978
205	0.5537423523
206	0.552148528
207	0.5506725231
208	0.5492580562
209	0.5475848809
210	0.546042067
211	0.544511864
212	0.5431976724
213	0.5417519181
214	0.5402755607
215	0.5393780979
216	0.5382666796
217	0.5370733734
218	0.5357140165
